bacteria,recall,precision,fscore
Acinetobacter.baumanii,0.879579217075112,0.969308564818136,0.9222665398047
Actinomyces.israeli,0.858889035308757,0.987392650378167,0.918668833178327
Bacteroides.fragilis,0.417883870236126,0.972178434023084,0.584517233975588
Bifidobacterium.spp,0.940465886793327,0.707287178435666,0.807377607144802
Candida.albicans,0.979028533540628,0.160723015699496,0.276117051073828
Clostridium.perfringens,0.715273857681122,0.987880586344921,0.829760519254959
Enterococcus.faecalis,0.323622747845192,0.801338214813055,0.461049376181677
Enterococcus.faecium,0.768068324189308,0.996536071290331,0.867512052254766
Escherichia.coli,0.993347275979219,0.0869349164176533,0.159877785672563
Fusobacterium,0.962083991379342,0.886808705993163,0.922913980529349
Lactobacillus.casei,0.862352242737789,0.99523941828817,0.924042632650322
Lactobacillus.crispatus,0.980902798157122,0.926863154345358,0.953117609016472
Lactobacillus.delbrueckii,0.566910973075234,0.763300558982846,0.650608496788977
Lactobacillus.gasseri,0.929223532418923,0.979601027060751,0.953747501001062
Lactobacillus.jehnsenii,0.379402714251279,0.994926302236113,0.549326595043674
Lactobacillus.johnsonii,0.979422658930464,0.293633956825854,0.451812978601574
Lactobacillus.paracasei,0.684373092647971,0.839371284365825,0.75398883228317
Lactobacillus.plantarum,0.853590829356621,0.992285664480947,0.91772764443417
Lactobacillus.reuteri,0.807103825136612,0.014725608426265,0.0289235074893265
Lactobacillus.rhamnosus,0.519967071814696,0.951007441126462,0.672333273059632
Lactobacillus.salivarius,0.978806977595251,0.970823879709575,0.97479908457076
Listeria.monocytogenes,0.989247339947101,0.986272592732864,0.987757726645803
Micrococcus.spp,0.941894390374231,0.974436549693659,0.957889162818153
Neisseria.gonorrhoeae,0.970496056160942,0.950472225180243,0.960379778247996
Porfyromonas.gingivalis,0.137266377194638,0.00475591202184148,0.00919330081350155
Propionibacterium.acnes,0.85827544175359,0.591022486319564,0.700008018650289
Proteus,0.891921071017976,0.969419375873346,0.929056873436132
Pseudomonas.aeruginosa,0.766694345812958,0.99392955603519,0.865647876242781
Staphylococcus.aureus,0.353527929344945,0.474468620299333,0.405165719460158
Staphylococcus.epidermidis,0.372260849681782,0.245415698045683,0.295813906536867
Staphylococcus.saprophiticus,0.905261518059006,0.741791084835658,0.815414058252651
Streptococcus.agalactiae,0.948356568824423,0.799011717469894,0.867302006993879
Veionella,0.813472459420908,0.943976262351077,0.873878915790427
background,0.987745035419382,0.979074030758524,0.98339041940353
,,,
average fscore,0.712687849920643,,
